Site,Longitude,Latitude,Elevation,species,Type,Type2,D,H,Ac,Soil,potential evotranspiration (mm d-1),potential evotranspiration (mm month-1),actual evotranspoiration(mm d-1),Gst,MT,MP,MP1,Solar,MI,R
65,13.23583333,41.00611111,175,Quercus ilex*,evergreen,angiosperm,0.128058484,10.12237762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,13.23583333,41.00611111,175,Rhamnus alaternus,evergreen,angiosperm,0.0365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,-3.385,41.00805556,975,Juniperus thurifera*,evergreen,gymnosperm,0.140269608,6.041551247,NA,306.6383,1.732274,20.787288,1.66559,8.683333333,8.683333333,56.5,678,176.3333333,2.718007274,NA
67,-2.131388889,41.00833333,1075,Pinus sylvestris*,evergreen,gymnosperm,0.303349311,17.33859935,NA,202.8926,1.874964,22.499568,1.359663,10.39166667,10.39166667,41.58333333,499,184.4166667,1.848183633,NA
68,-2.0125,41.00861111,1275,Quercus pyrenaica (Q. toza)*,deciduous,angiosperm,0.17269962,14.67171717,NA,255.5689,1.874276,22.491312,1.625264,10.28333333,10.28333333,50.66666667,608,182.6666667,2.252721703,NA
69,-6.232222222,41.00972222,875,Quercus ilex*,evergreen,angiosperm,0.155606436,5.470052083,NA,283.9299,1.963326,23.559912,1.703631,12.75,12.75,53.33333333,640,188.0833333,2.263732281,NA
69,-6.232222222,41.00972222,875,Quercus pyrenaica (Q. toza)*,deciduous,angiosperm,0.149090909,7,55.50289663,283.9299,1.963326,23.559912,1.703631,12.75,12.75,53.33333333,640,188.0833333,2.263732281,53.18221806
70,-4.657777778,41.01,725,Pinus pinea*,evergreen,gymnosperm,0.313141593,10.56125654,NA,194.8889,1.940256,23.283072,1.179422,12.85833333,12.85833333,35.91666667,431,185.8333333,1.542608581,NA
71,-4.646388889,41.01027778,775,Pinus pinaster*,evergreen,gymnosperm,0.421694631,14.86960557,NA,200.479,1.952501,23.430012,1.232598,12.80833333,12.80833333,37.58333333,451,186.75,1.604068036,NA
72,-8.090555556,41.01388889,475,Pinus pinaster*,evergreen,gymnosperm,0.2241,11.83333333,66.15700721,689.2181,1.669758,20.037096,1.669758,9.566666667,9.566666667,135.75,1629,173.25,6.774933853,24.94749221
73,9.752222222,41.01972222,825,Fraxinus excelsior*,deciduous,angiosperm,0.065333333,NA,9.56092619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,9.752222222,41.01972222,825,Other broadleaves,deciduous,angiosperm,0.066970588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,9.752222222,41.01972222,825,Pinus nigra*,evergreen,gymnosperm,0.139864865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,9.752222222,41.01972222,825,Pinus pinaster*,evergreen,gymnosperm,0.352512378,24.69899329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,-8.063888889,41.03055556,425,Pinus pinaster*,evergreen,gymnosperm,0.34237691,23.06823266,NA,656.6852,1.739393,20.872716,1.739393,11.8,11.8,95.41666667,1145,173.25,4.57135845,NA
75,23.77,42.00027778,975,Carpinus betulus*,deciduous,angiosperm,0.242504348,13.91875,NA,671.6478,1.353808,16.245696,1.30111,9.3,6.066666667,81.25,975,156.4166667,5.001324659,NA
75,23.77,42.00027778,975,Fagus sylvatica*,deciduous,angiosperm,0.42174024,23.74358974,NA,671.6478,1.353808,16.245696,1.30111,9.3,6.066666667,81.25,975,156.4166667,5.001324659,NA
75,23.77,42.00027778,975,Pinus nigra*,evergreen,gymnosperm,0.341366667,18.4,NA,671.6478,1.353808,16.245696,1.30111,9.3,6.066666667,81.25,975,156.4166667,5.001324659,NA
75,23.77,42.00027778,975,Quercus cerris*,deciduous,angiosperm,0.3746,25,NA,671.6478,1.353808,16.245696,1.30111,9.3,6.066666667,81.25,975,156.4166667,5.001324659,NA
75,23.77,42.00027778,975,Quercus petraea*,deciduous,angiosperm,0.4372,25.2,NA,671.6478,1.353808,16.245696,1.30111,9.3,6.066666667,81.25,975,156.4166667,5.001324659,NA
76,-8.27,42.00055556,125,Pinus pinaster*,evergreen,gymnosperm,0.1982,11.33333333,NA,799.6591,1.507542,18.090504,1.507542,8.875,8.875,166.25,1995,161.6666667,9.189904272,NA
77,-2.740277778,42.00083333,1275,Fagus sylvatica*,deciduous,angiosperm,0.393898305,22.53958333,NA,631.3585,1.385243,16.622916,1.344451,7.577777778,5.358333333,71.5,858,158.0833333,4.301291061,NA
78,23.06583333,42.00083333,1625,Abies alba*,evergreen,gymnosperm,0.399269231,24.58157895,22.16055,210.5417,1.889281,22.671372,1.300495,13.21666667,13.21666667,39.5,474,169.0833333,1.742285381,2.257901105
78,23.06583333,42.00083333,1625,Fagus sylvatica*,deciduous,angiosperm,0.093055556,10.01666667,NA,210.5417,1.889281,22.671372,1.300495,13.21666667,13.21666667,39.5,474,169.0833333,1.742285381,NA
78,23.06583333,42.00083333,1625,Picea abies (P. excelsa)*,evergreen,gymnosperm,0.267432624,17.64509804,3.923136616,210.5417,1.889281,22.671372,1.300495,13.21666667,13.21666667,39.5,474,169.0833333,1.742285381,0.83137119
79,27.91138889,42.00111111,175,Quercus frainetto (Q. conferta)*,deciduous,angiosperm,0.331842793,NA,20.46536316,449.3366,1.646827,19.761924,1.646827,12.93333333,12.93333333,61.41666667,737,158.3333333,3.1078283,NA
80,11.82111111,42.0025,675,Quercus cerris*,deciduous,angiosperm,0.147236577,16.46877637,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.25,NA,NA
80,11.82111111,42.0025,675,Quercus petraea*,deciduous,angiosperm,0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178.25,NA,NA
80,11.82111111,42.0025,675,Quercus pubescens*,deciduous,angiosperm,0.1734,15.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,179.25,NA,NA
80,11.82111111,42.0025,675,Sorbus torminalis,deciduous,angiosperm,0.0345,NA,56.87098558,NA,NA,NA,NA,NA,NA,NA,NA,180.25,NA,NA
81,-1.001111111,42.00416667,925,Fagus sylvatica*,deciduous,angiosperm,0.476095238,29.67236842,NA,218.1476,1.917071,23.004852,1.42819,12.75,12.75,44.08333333,529,183.4166667,1.916262419,NA
82,-1.478611111,42.00638889,975,Quercus faginea*,deciduous,angiosperm,0.123706294,9.244318182,54.21594952,166.8721,1.968589,23.623068,0.9036056,15.18333333,15.18333333,28.58333333,343,180.4166667,1.209975492,47.40895544
82,-1.478611111,42.00638889,975,Quercus pubescens*,deciduous,angiosperm,0.13,NA,NA,166.8721,1.968589,23.623068,0.9036056,15.18333333,15.18333333,28.58333333,343,180.4166667,1.209975492,NA
82,-1.478611111,42.00638889,975,Quercus pyrenaica (Q. toza)*,deciduous,angiosperm,0.14,12,NA,166.8721,1.968589,23.623068,0.9036056,15.18333333,15.18333333,28.58333333,343,180.4166667,1.209975492,NA
82,-1.478611111,42.00638889,975,Sorbus torminalis,deciduous,angiosperm,0.1065,7.204545455,NA,166.8721,1.968589,23.623068,0.9036056,15.18333333,15.18333333,28.58333333,343,180.4166667,1.209975492,NA
83,-0.359166667,42.00666667,1325,Abies alba*,evergreen,gymnosperm,0.215632653,14.85042735,NA,225.1789,2.040877,24.490524,1.41565,14.31666667,14.31666667,43.16666667,518,187.5,1.762586487,NA
83,-0.359166667,42.00666667,1325,Fagus sylvatica*,deciduous,angiosperm,0.237142857,15.5,NA,225.1789,2.040877,24.490524,1.41565,14.31666667,14.31666667,43.16666667,518,187.5,1.762586487,NA
83,-0.359166667,42.00666667,1325,Pinus sylvestris*,evergreen,gymnosperm,0.288872803,14.42429907,75.14676683,225.1789,2.040877,24.490524,1.41565,14.31666667,14.31666667,43.16666667,518,187.5,1.762586487,18.03470015
83,-0.359166667,42.00666667,1325,Quercus faginea*,deciduous,angiosperm,0.113333333,NA,NA,225.1789,2.040877,24.490524,1.41565,14.31666667,14.31666667,43.16666667,518,187.5,1.762586487,NA
83,-0.359166667,42.00666667,1325,Quercus petraea*,deciduous,angiosperm,0.1275,8.3,NA,225.1789,2.040877,24.490524,1.41565,14.31666667,14.31666667,43.16666667,518,187.5,1.762586487,NA
84,10.87,42.00694444,25,Arbutus unedo,evergreen,angiosperm,0.109178571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,10.87,42.00694444,25,Erica arborea,evergreen,angiosperm,0.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,10.87,42.00694444,25,Fraxinus ornus*,deciduous,angiosperm,0.078910569,13.42368421,36.3647476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.3299899
