Site,lon,lat,species,Type,Type2,PFTs,D,H,Ac,R,Gst,MI,ppfd,Database
527,6.880277778,52.01611111,Quercus robur (Q. pedunculata)*,deciduous,angiosperm,Deciduous angiosperm,0.103833333,7.851190476,NA,NA,9.9,5.233000649,19.54737792,ICP
527,6.880277778,52.01611111,Quercus rubra*,deciduous,angiosperm,Deciduous angiosperm,0.3335,17.65,NA,NA,9.9,5.233000649,19.54737792,ICP
527,6.880277778,52.01611111,Picea abies (P. excelsa)*,evergreen,gymnosperm,Evergreen gymnosperm,0.099983607,7.409836066,NA,NA,9.9,5.233000649,19.54737792,ICP
527,6.880277778,52.01611111,Picea sitchensis*,evergreen,gymnosperm,Evergreen gymnosperm,0.21475,16.725,NA,NA,9.9,5.233000649,19.54737792,ICP
527,6.880277778,52.01611111,Pinus sylvestris*,evergreen,gymnosperm,Evergreen gymnosperm,0.250896,16.0192,NA,NA,9.9,5.233000649,19.54737792,ICP
527,6.880277778,52.01611111,Pseudotsuga menziesii*,evergreen,gymnosperm,Evergreen gymnosperm,0.181165468,12.96690647,NA,NA,9.9,5.233000649,19.54737792,ICP
528,6.880277778,52.01694444,Betula pendula*,deciduous,angiosperm,Deciduous angiosperm,0.1245,8.933333333,NA,NA,9.9,5.278360664,19.54737792,ICP
528,6.880277778,52.01694444,Quercus robur (Q. pedunculata)*,deciduous,angiosperm,Deciduous angiosperm,0.152486111,8.895833333,NA,NA,9.9,5.278360664,19.54737792,ICP
528,6.880277778,52.01694444,Sorbus aucuparia,deciduous,angiosperm,Deciduous angiosperm,0.194,10.93333333,NA,NA,9.9,5.278360664,19.54737792,ICP
528,6.880277778,52.01694444,Pinus sylvestris*,evergreen,gymnosperm,Evergreen gymnosperm,0.338111111,16.53730159,NA,NA,9.9,5.278360664,19.54737792,ICP
529,52.91388889,52.01805556,Betula pendula*,deciduous,angiosperm,Deciduous angiosperm,0.223195652,22.7,NA,NA,14.64285714,2.208303501,23.53663872,ICP
529,52.91388889,52.01805556,Quercus robur (Q. pedunculata)*,deciduous,angiosperm,Deciduous angiosperm,0.217,NA,NA,NA,14.64285714,2.208303501,23.53663872,ICP
529,52.91388889,52.01805556,Pinus sylvestris*,evergreen,gymnosperm,Evergreen gymnosperm,0.243602151,22.68,NA,NA,14.64285714,2.208303501,23.53663872,ICP
530,6.545,52.01833333,Fagus sylvatica*,deciduous,angiosperm,Deciduous angiosperm,0.380945946,22.88275862,NA,NA,9.858333333,5.086760729,19.83232512,ICP
530,6.545,52.01833333,Other broadleaves,deciduous,angiosperm,Deciduous angiosperm,0.142,9,NA,NA,9.858333333,5.086760729,19.83232512,ICP
530,6.545,52.01833333,Abies grandis,evergreen,gymnosperm,Evergreen gymnosperm,0.08,NA,NA,NA,9.858333333,5.086760729,19.83232512,ICP
530,6.545,52.01833333,Pseudotsuga menziesii*,evergreen,gymnosperm,Evergreen gymnosperm,0.498202454,26.0627907,39.05821023,3.008053526,9.858333333,5.086760729,19.83232512,ICP
531,0.405,52.01833333,Fagus sylvatica*,deciduous,angiosperm,Deciduous angiosperm,0.143117188,NA,NA,NA,10.09166667,3.838027273,19.40490432,ICP
532,52.78222222,52.01833333,Pinus sylvestris*,evergreen,gymnosperm,Evergreen gymnosperm,0.208096623,21.65222222,NA,NA,14.97142857,2.02617888,23.49389664,ICP
533,52.74583333,52.01861111,Fagus sylvatica*,deciduous,angiosperm,Deciduous angiosperm,0.284396535,26.78125,NA,NA,14.97142857,1.975549764,23.56513344,ICP
534,52.87916667,52.01888889,Betula pendula*,deciduous,angiosperm,Deciduous angiosperm,0.256258065,NA,NA,NA,14.82857143,2.111633868,23.53663872,ICP
534,52.87916667,52.01888889,Carpinus betulus*,deciduous,angiosperm,Deciduous angiosperm,0.136960784,24.5,NA,NA,14.82857143,2.111633868,23.53663872,ICP
534,52.87916667,52.01888889,Fagus sylvatica*,deciduous,angiosperm,Deciduous angiosperm,0.123,NA,NA,NA,14.82857143,2.111633868,23.53663872,ICP
534,52.87916667,52.01888889,Quercus petraea*,deciduous,angiosperm,Deciduous angiosperm,0.23338209,24.46,NA,NA,14.82857143,2.111633868,23.53663872,ICP
534,52.87916667,52.01888889,Quercus robur (Q. pedunculata)*,deciduous,angiosperm,Deciduous angiosperm,0.213769863,22.02631579,NA,NA,14.82857143,2.111633868,23.53663872,ICP
535,6.905833333,52.02277778,Fagus sylvatica*,deciduous,angiosperm,Deciduous angiosperm,0.36,15,NA,NA,9.875,5.267793881,19.5188832,ICP
535,6.905833333,52.02277778,Larix kaempferi (L.leptolepis),deciduous,gymnosperm,Deciduous gymnosperm,0.142791667,10.98387097,NA,NA,9.875,5.267793881,19.5188832,ICP
535,6.905833333,52.02277778,Pseudotsuga menziesii*,evergreen,gymnosperm,Evergreen gymnosperm,0.120317308,9.524096386,NA,NA,9.875,5.267793881,19.5188832,ICP
536,5.182777778,52.02472222,Quercus robur (Q. pedunculata)*,deciduous,angiosperm,Deciduous angiosperm,0.1815,17.25,NA,NA,10.24166667,5.316521638,19.61861472,ICP
536,5.182777778,52.02472222,Pseudotsuga menziesii*,evergreen,gymnosperm,Evergreen gymnosperm,0.336342697,24.34213483,NA,NA,10.24166667,5.316521638,19.61861472,ICP
536,5.182777778,52.02472222,Tsuga sp.,evergreen,gymnosperm,Evergreen gymnosperm,0.211147059,19.99705882,NA,NA,10.24166667,5.316521638,19.61861472,ICP
537,52.675,52.03666667,Alnus glutinosa*,deciduous,angiosperm,Deciduous angiosperm,0.192318182,19.4,NA,NA,14.88571429,2.174858331,23.56513344,ICP
537,52.675,52.03666667,Betula pendula*,deciduous,angiosperm,Deciduous angiosperm,0.22925,23.65,NA,NA,14.88571429,2.174858331,23.56513344,ICP
537,52.675,52.03666667,Picea abies (P. excelsa)*,evergreen,gymnosperm,Evergreen gymnosperm,0.15721224,14.7845092,NA,NA,14.88571429,2.174858331,23.56513344,ICP
537,52.675,52.03666667,Pinus sylvestris*,evergreen,gymnosperm,Evergreen gymnosperm,0.299589135,28.74314928,NA,NA,14.88571429,2.174858331,23.56513344,ICP
538,52.85138889,52.03694444,Betula pendula*,deciduous,angiosperm,Deciduous angiosperm,0.262869565,24.5,NA,NA,14.51428571,2.296876192,23.53663872,ICP
538,52.85138889,52.03694444,Pinus sylvestris*,evergreen,gymnosperm,Evergreen gymnosperm,0.248878338,22.25,NA,NA,14.51428571,2.296876192,23.53663872,ICP
