H,Database
20.636,BAAD
20.106,BAAD
21.10555556,BAAD
8.360714286,BAAD
11.709,BAAD
10.525,BAAD
6.4125,BAAD
4.78,BAAD
1.669832402,BAAD
18.22,BAAD
3.333833333,BAAD
7.183333333,BAAD
2.912727273,BAAD
3.48,BAAD
4.57625,BAAD
13.694,BAAD
14.80625,BAAD
2.495,BAAD
6.02,BAAD
8.54,BAAD
3.65,BAAD
3.145,BAAD
12.055,BAAD
7.06,BAAD
6.561,BAAD
21.218125,BAAD
10.4,BAAD
20.68,BAAD
17.3,BAAD
6.306666667,BAAD
7.495,BAAD
10.01666667,BAAD
10.9,BAAD
7.7,BAAD
6.8,BAAD
6.373333333,BAAD
21.43,BAAD
3.145,BAAD
13.45333333,BAAD
20.25,BAAD
13.175,BAAD
7.703333333,BAAD
7.425384615,BAAD
13.68,BAAD
14.11,BAAD
1.7475,BAAD
1.34575,BAAD
3.62,BAAD
2.605,BAAD
8.003333333,BAAD
14.24666667,BAAD
17.24,BAAD
17.3625,BAAD
8.24,BAAD
32.88571429,BAAD
1.366666667,BAAD
1.3575,BAAD
1.476666667,BAAD
19.60227273,BAAD
1.330357143,BAAD
0.860909091,BAAD
1.093333333,BAAD
9.638461538,BAAD
12.164,BAAD
15.28,BAAD
1.128333333,BAAD
6.594871795,BAAD
4.8,BAAD
12.43333333,BAAD
6,BAAD
NA,BAAD
4.87,BAAD
2.72,BAAD
4.7475,BAAD
3.41,BAAD
5.1375,BAAD
3.82,BAAD
3.1,BAAD
3.67,BAAD
5.24,BAAD
2.07,BAAD
2.55,BAAD
1.83,BAAD
7.295,BAAD
4.0625,BAAD
1.8,BAAD
13.829375,BAAD
7.265306122,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
4.434166667,BAAD
4.333333333,BAAD
14.66,BAAD
15.5,BAAD
14.38,BAAD
10.96666667,BAAD
2.8,BAAD
18.7,BAAD
20.01428571,BAAD
11.4,BAAD
9.614285714,BAAD
17.54,BAAD
14.16,BAAD
16.5375,BAAD
8.64875,BAAD
11.94909091,BAAD
16.45416667,BAAD
8.3,BAAD
11.9,BAAD
7.75,BAAD
13.18,BAAD
11,BAAD
12.26,BAAD
16.7,BAAD
13,BAAD
8.95,BAAD
10.08571429,BAAD
20.6,BAAD
7.8,BAAD
15.8,BAAD
21.5,BAAD
12.6125,BAAD
19.725,BAAD
9.8,BAAD
15.6,BAAD
6.5,BAAD
18.4,BAAD
4.7,BAAD
9.166666667,BAAD
8.45,BAAD
9.8,BAAD
17.1,BAAD
12.9,BAAD
8.9,BAAD
2,BAAD
13.32125,BAAD
5.971276596,BAAD
0.329375,BAAD
0.4,BAAD
0.323076923,BAAD
0.365555556,BAAD
0.270833333,BAAD
17.08095238,BAAD
7.665789474,BAAD
9.413333333,BAAD
12.76,BAAD
17.2,BAAD
16.06,BAAD
9.05,BAAD
6.944666667,BAAD
9.3,BAAD
7.635,BAAD
21.65454545,BAAD
16.792,BAAD
19.25555556,BAAD
78.71904762,BAAD
10.81363636,BAAD
7.053,BAAD
10.81363636,BAAD
7.053,BAAD
5.563333333,BAAD
4.285890909,BAAD
14.51428571,BAAD
12.11428571,BAAD
14.4,BAAD
7.525,BAAD
14.5,BAAD
16,BAAD
9.5,BAAD
16.5,BAAD
14.9,BAAD
4,BAAD
14.375,BAAD
6.62,BAAD
3.39504,BAAD
0.391461538,BAAD
14.626,BAAD
43.66916667,BAAD
21.475,BAAD
16.56875,BAAD
15.983,BAAD
21.78666667,BAAD
15.24,BAAD
15.00909091,BAAD
33.28333333,BAAD
23.03666667,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
0.100848101,BAAD
NA,BAAD
7.442580645,BAAD
8.086521739,BAAD
8.017272727,BAAD
9.044693878,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
9.759166667,BAAD
6.666363636,BAAD
8.896666667,BAAD
NA,BAAD
2.915,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
0.63775,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
6.273333333,BAAD
NA,BAAD
NA,BAAD
14.63857143,BAAD
9.059333333,BAAD
1.72765,BAAD
18.2625,BAAD
4.16072,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
8.67,BAAD
6.233333333,BAAD
11.44133333,BAAD
3.3,BAAD
12.24444444,BAAD
2.685,BAAD
7.667692308,BAAD
18.06,BAAD
2.85,BAAD
NA,BAAD
19.275,BAAD
NA,BAAD
0.251254545,BAAD
13.37666667,BAAD
8.865384615,BAAD
NA,BAAD
NA,BAAD
16.75291005,BAAD
7.095066667,BAAD
7.443216,BAAD
4.453466667,BAAD
4.484145882,BAAD
3.983355,BAAD
3.98526,BAAD
11.78898667,BAAD
10.71499,BAAD
9.2964,BAAD
4.65582,BAAD
1.506980392,BAAD
1.282691176,BAAD
1.867954545,BAAD
17.46625,BAAD
29.61052584,BAAD
25.64090901,BAAD
23.99478217,BAAD
23.05916667,BAAD
2.83744186,BAAD
2.809,BAAD
3.157111111,BAAD
1.890028902,BAAD
1.804069767,BAAD
10.98666667,BAAD
9.214459459,BAAD
7.728057554,BAAD
9.93,BAAD
1.500454545,BAAD
4.826766667,BAAD
2.670766667,BAAD
2.4755,BAAD
1.49,BAAD
2.861666667,BAAD
11.24052632,BAAD
4.896190476,BAAD
2.543636364,BAAD
1.095833333,BAAD
NA,BAAD
14.29833333,BAAD
3.575,BAAD
1.4975,BAAD
1.668947368,BAAD
1.186,BAAD
0.591458333,BAAD
1.572105263,BAAD
1.292105263,BAAD
1.125238095,BAAD
0.515652174,BAAD
1.410833333,BAAD
5.215,BAAD
1.590666667,BAAD
2.766363636,BAAD
5.931,BAAD
2.126458333,BAAD
NA,BAAD
10.415,BAAD
10.41,BAAD
0.429444444,BAAD
1.624,BAAD
0.1446,BAAD
0.388894737,BAAD
NA,BAAD
0.723,BAAD
0.1241,BAAD
0.29645,BAAD
0.501074074,BAAD
NA,BAAD
NA,BAAD
0.321615385,BAAD
10.06890625,BAAD
19.965,BAAD
2.96,BAAD
30.65833333,BAAD
22.02105263,BAAD
